City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nizwa,22.9333,57.5333,21.72,42,98,1.72,OM,1675717458
84,avarua,-21.2078,-159.775,29.03,84,97,4.12,CK,1675717296
85,tabuk,17.4189,121.4443,20.97,95,74,1.13,PH,1675717459
86,esmeraldas,-19.7625,-44.3139,30.06,82,93,0.65,BR,1675717460
87,cherskiy,68.75,161.3,-38.29,100,100,2.52,RU,1675717189
88,kalnibolotskaya,46.0058,40.4568,-5.18,70,100,8.21,RU,1675717461
89,moron,-34.6534,-58.6198,33.94,37,0,3.46,AR,1675717462
90,porto novo,6.4965,2.6036,28.9,83,100,3.83,BJ,1675717463
91,chokurdakh,70.6333,147.9167,-31.53,99,100,1.3,RU,1675717464
92,hanmer springs,-42.5167,172.8167,20.57,39,31,2.52,NZ,1675717465
93,shubarkuduk,49.1447,56.4872,-15.41,91,71,3.23,KZ,1675717466
94,weihai,37.5017,122.1136,2.31,73,100,4.26,CN,1675717467
95,maniwaki,46.3834,-75.966,-7.79,53,6,2.06,CA,1675717469
96,lebu,-37.6167,-73.65,16.9,71,0,8.6,CL,1675717471
97,aleksandrov gay,50.147,48.5704,-12.07,93,68,4.07,RU,1675717471
98,college,64.8569,-147.8028,-14.95,78,40,0.0,US,1675717472
99,kahului,20.8947,-156.47,26.65,77,40,6.69,US,1675717181
100,tahoua,14.8888,5.2692,27.99,14,0,2.06,NE,1675717410
101,quatre cocos,-20.2078,57.7625,27.06,80,77,6.47,MU,1675717472
102,hai duong,20.9333,106.3167,20.0,92,100,3.78,VN,1675717473
103,anadyr,64.75,177.4833,-26.67,75,75,5.0,RU,1675717473
104,kibre mengist,5.8833,38.9833,13.15,35,13,1.2,ET,1675717473
105,winston-salem,36.0999,-80.2442,16.61,24,0,6.17,US,1675717433
106,ribeira grande,38.5167,-28.7,14.32,72,40,10.28,PT,1675717474
107,nanortalik,60.1432,-45.2371,-11.23,84,100,6.72,GL,1675717474
108,honningsvag,70.9821,25.9704,3.86,93,100,9.26,NO,1675717395
109,san patricio,28.017,-97.5169,26.97,56,13,9.17,US,1675717475
110,avera,33.194,-82.5271,19.65,36,0,0.3,US,1675717475
111,amahai,-3.3333,128.9167,25.33,84,100,2.22,ID,1675717476
112,new norfolk,-42.7826,147.0587,14.84,63,0,0.89,AU,1675717476
